Iceberg,Length (NM),Width (NM),Latitude,Longitude,Remarks,Last Update
A23A,40,32,-68.23,-55.68,,07/07/2023
A74A,30,18,-75.09,-53.85,Calved from north Brunt,07/07/2023
A74B,8,4,-72.82,-53.94,Calved from A74,07/07/2023
A76A,31,4,-54.52,-34.81,,07/07/2023
A76B,20,7,-65.75,-60.05,,07/07/2023
A76C,16,7,-65.57,-60.17,,07/07/2023
A76D,19,5,-53.75,-41.99,,07/07/2023
A76E,8,4,-51.79,-40.58,,07/07/2023
A76F,48,5,-55.14,-34.34,,07/07/2023
A76G,17,11,-54.66,-40.08,,07/07/2023
A76H,28,3,-55.64,-34.82,,07/07/2023
A76J,17,3,-52.25,-39.08,Calved from A76F,07/07/2023
A76K,10,3,-54.66,-38.68,Calved from A76A,07/07/2023
A76L,17,2,-55.81,-34.1,Calved from A76A,07/07/2023
A76M,35,4,-54.94,-34.13,,07/07/2023
A77,27,4,-75.83,-52.04,Calved from Ekstrom Ice shelf,07/07/2023
A78,18,4,-65.22,-46.22,,07/07/2023
A80A,11,9,-67.38,-59.31,,07/07/2023
A80D,6,5,-67.53,-59.14,,07/07/2023
A81,28,25,-77.49,-42.3,Brunt Ice Shelf,07/07/2023
B09B,27,10,-66.17,143.42,Grounded,07/07/2023
B09G,12,7,-68.19,41.72,,07/07/2023
B15AB,11,4,-70.15,-7.07,Result of B15T calving,07/07/2023
B22A,44,24,-71.91,-114.83,,07/07/2023
B29,11,5,-73.73,-110.57,,07/07/2023
B38,6,4,-76.84,-155.28,,07/07/2023
B39,8,4,-74.93,-52.53,,07/07/2023
B45,8,6,-72.96,-110.76,Calved from Crosson ice shelf,07/07/2023
B46,18,5,-67.25,-155.47,Calved from PIG,07/07/2023
B47,19,5,-73.87,-133.89,Calved from the Getz Ice Shelf,07/07/2023
C15,14,10,-65.94,143.2,,07/07/2023
C18B,20,4,-65.85,81.73,,07/07/2023
C21B,12,8,-64.99,95.86,Fasted,07/07/2023
C24,11,3,-64.84,96.02,Fasted,07/07/2023
C29,7,5,-66.05,142.76,Grounded,07/07/2023
C30,9,3,-64.78,96.29,Fasted,07/07/2023
C31,9,3,-64.68,96.5,Fasted,07/07/2023
C33,11,4,-65.32,126.12,Calved off Nansen Ice Shelf,07/07/2023
C35,8,5,-66.25,143.0,Calved from Ninnis Ice Shelf,07/07/2023
C36,23,16,-67.92,147.48,Calved from Ninnis Ice Shelf,07/07/2023
C38B,8,7,-65.33,99.11,,07/07/2023
C39,15,8,-64.96,98.41,,07/07/2023
D15A,51,22,-66.63,81.91,Grounded,07/07/2023
D15B,32,12,-66.97,81.57,Grounded,07/07/2023
D20A,14,5,-68.55,-53.25,,07/07/2023
D23,7,6,-69.43,74.7,Fasted,07/07/2023
D27,8,5,-74.01,-36.71,,07/07/2023
D28,30,19,-62.14,-53.88,Calved from Amery Ice Shelf,07/07/2023
D29A,21,9,-63.09,-33.85,,07/07/2023
D29B,13,7,-62.51,-54.34,,07/07/2023
D29C,13,6,-64.1,-48.37,,07/07/2023
D30A,39,11,-62.28,-56.56,,07/07/2023
D30B,15,5,-62.91,-51.41,,07/07/2023
D31,16,2,-64.02,-50.45,,07/07/2023
D32,10,9,-65.64,55.59,Calved from Amery Ice Shelf,07/07/2023
