"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/09/20","00:00","-0.148","-","0.114"
"2024/09/20","01:00","-0.182","-","0.044"
"2024/09/20","02:00","-0.088","-","0.194"
"2024/09/20","03:00","0.118","-","0.41"
"2024/09/20","04:00","0.344","-","0.598"
"2024/09/20","05:00","0.516","-","0.711"
"2024/09/20","06:00","0.607","-","0.778"
"2024/09/20","07:00","0.592","-","0.817"
"2024/09/20","08:00","0.473","-","0.704"
"2024/09/20","09:00","0.28","-","0.565"
"2024/09/20","10:00","0.044","-","0.381"
"2024/09/20","11:00","-0.192","-","0.177"
"2024/09/20","12:00","-0.383","-","-0.03"
"2024/09/20","13:00","-0.491","-","-0.199"
"2024/09/20","14:00","-0.472","-","-0.214"
"2024/09/20","15:00","-0.306","-","0.053"
"2024/09/20","16:00","-0.064","-","0.286"
"2024/09/20","17:00","0.163","-","0.47"
"2024/09/20","18:00","0.335","-","0.606"
"2024/09/20","19:00","0.431","-","0.694"
"2024/09/20","20:00","0.438","-","0.706"
"2024/09/20","21:00","0.371","-","0.594"
"2024/09/20","22:00","0.252","-","0.488"
"2024/09/20","23:00","0.11","-","0.361"
"2024/09/21","00:00","-0.013","-","0.238"
"2024/09/21","01:00","-0.084","-","0.144"
"2024/09/21","02:00","-0.071","-","0.158"
"2024/09/21","03:00","0.059","-","0.339"
"2024/09/21","04:00","0.269","-","0.521"
"2024/09/21","05:00","0.463","-","0.637"
"2024/09/21","06:00","0.586","-","0.726"
"2024/09/21","07:00","0.625","-","0.798"
"2024/09/21","08:00","0.568","-","0.805"
"2024/09/21","09:00","0.421","-","0.638"
"2024/09/21","10:00","0.213","-","0.489"
"2024/09/21","11:00","-0.027","-","0.299"
"2024/09/21","12:00","-0.255","-","0.09"
"2024/09/21","13:00","-0.427","-","-0.118"
"2024/09/21","14:00","-0.51","-","-0.268"
"2024/09/21","15:00","-0.466","-","-0.208"
"2024/09/21","16:00","-0.296","-","0.032"
"2024/09/21","17:00","-0.079","-","0.243"
"2024/09/21","18:00","0.111","-","0.412"
"2024/09/21","19:00","0.253","-","0.534"
"2024/09/21","20:00","0.333","-","0.599"
"2024/09/21","21:00","0.343","-","0.557"
"2024/09/21","22:00","0.293","-","0.518"
"2024/09/21","23:00","0.203","-","0.399"
"2024/09/22","00:00","0.1","-","0.305"
"2024/09/22","01:00","0.023","-","0.265"
"2024/09/22","02:00","-0.004","-","0.225"
"2024/09/22","03:00","0.044","-","0.251"
"2024/09/22","04:00","0.187","-","0.42"
"2024/09/22","05:00","0.374","-","0.553"
"2024/09/22","06:00","0.521","-","0.672"
"2024/09/22","07:00","0.596","-","0.74"
"2024/09/22","08:00","0.599","-","0.772"
"2024/09/22","09:00","0.518","-","0.713"
"2024/09/22","10:00","0.363","-","0.582"
"2024/09/22","11:00","0.158","-","0.443"
"2024/09/22","12:00","-0.068","-","0.257"
"2024/09/22","13:00","-0.271","-","0.051"
"2024/09/22","14:00","-0.415","-","-0.121"
"2024/09/22","15:00","-0.477","-","-0.216"
"2024/09/22","16:00","-0.427","-","-0.161"
"2024/09/22","17:00","-0.277","-","0.065"
"2024/09/22","18:00","-0.101","-","0.22"
"2024/09/22","19:00","0.048","-","0.35"
"2024/09/22","20:00","0.166","-","0.462"
"2024/09/22","21:00","0.239","-","0.514"
"2024/09/22","22:00","0.256","-","0.521"
"2024/09/22","23:00","0.228","-","0.478"
"2024/09/23","00:00","0.17","-","0.416"
"2024/09/23","01:00","0.109","-","0.377"
"2024/09/23","02:00","0.075","-","0.327"
"2024/09/23","03:00","0.08","-","0.294"
"2024/09/23","04:00","0.14","-","0.395"
"2024/09/23","05:00","0.27","-","0.528"
"2024/09/23","06:00","0.418","-","0.603"
"2024/09/23","07:00","0.519","-","0.671"
"2024/09/23","08:00","0.561","-","0.69"
"2024/09/23","09:00","0.545","-","0.712"
"2024/09/23","10:00","0.459","-","0.632"
"2024/09/23","11:00","0.312","-","0.563"
"2024/09/23","12:00","0.127","-","0.422"
"2024/09/23","13:00","-0.069","-","0.252"
"2024/09/23","14:00","-0.237","-","0.074"
"2024/09/23","15:00","-0.357","-","-0.089"
"2024/09/23","16:00","-0.414","-","-0.192"
"2024/09/23","17:00","-0.378","-","-0.122"
"2024/09/23","18:00","-0.263","-","0.035"
"2024/09/23","19:00","-0.131","-","0.162"
"2024/09/23","20:00","-0.014","-","0.266"
