"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2024/09/20","00:00","-0.157","-","0.136"
"2024/09/20","01:00","-0.034","-","0.284"
"2024/09/20","02:00","0.148","-","0.453"
"2024/09/20","03:00","0.328","-","0.675"
"2024/09/20","04:00","0.456","-","0.789"
"2024/09/20","05:00","0.505","-","0.848"
"2024/09/20","06:00","0.468","-","0.772"
"2024/09/20","07:00","0.349","-","0.701"
"2024/09/20","08:00","0.163","-","0.472"
"2024/09/20","09:00","-0.061","-","0.246"
"2024/09/20","10:00","-0.277","-","0.022"
"2024/09/20","11:00","-0.427","-","-0.159"
"2024/09/20","12:00","-0.464","-","-0.21"
"2024/09/20","13:00","-0.376","-","-0.134"
"2024/09/20","14:00","-0.193","-","0.055"
"2024/09/20","15:00","0.027","-","0.298"
"2024/09/20","16:00","0.224","-","0.493"
"2024/09/20","17:00","0.359","-","0.652"
"2024/09/20","18:00","0.418","-","0.693"
"2024/09/20","19:00","0.4","-","0.685"
"2024/09/20","20:00","0.316","-","0.581"
"2024/09/20","21:00","0.188","-","0.397"
"2024/09/20","22:00","0.049","-","0.257"
"2024/09/20","23:00","-0.054","-","0.169"
"2024/09/21","00:00","-0.081","-","0.147"
"2024/09/21","01:00","-0.012","-","0.256"
"2024/09/21","02:00","0.132","-","0.365"
"2024/09/21","03:00","0.305","-","0.588"
"2024/09/21","04:00","0.453","-","0.731"
"2024/09/21","05:00","0.535","-","0.809"
"2024/09/21","06:00","0.536","-","0.802"
"2024/09/21","07:00","0.458","-","0.729"
"2024/09/21","08:00","0.309","-","0.583"
"2024/09/21","09:00","0.107","-","0.376"
"2024/09/21","10:00","-0.117","-","0.167"
"2024/09/21","11:00","-0.318","-","-0.037"
"2024/09/21","12:00","-0.445","-","-0.169"
"2024/09/21","13:00","-0.463","-","-0.215"
"2024/09/21","14:00","-0.369","-","-0.137"
"2024/09/21","15:00","-0.2","-","0.026"
"2024/09/21","16:00","-0.008","-","0.234"
"2024/09/21","17:00","0.156","-","0.416"
"2024/09/21","18:00","0.264","-","0.52"
"2024/09/21","19:00","0.307","-","0.549"
"2024/09/21","20:00","0.291","-","0.563"
"2024/09/21","21:00","0.228","-","0.449"
"2024/09/21","22:00","0.138","-","0.316"
"2024/09/21","23:00","0.051","-","0.25"
"2024/09/22","00:00","0.005","-","0.225"
"2024/09/22","01:00","0.028","-","0.221"
"2024/09/22","02:00","0.124","-","0.33"
"2024/09/22","03:00","0.268","-","0.465"
